"","date","fire_scar","site","plot","location","site_notes","plant_species","plant_species_cover","veg_cover_notes"
"609","2024-07-17","Shovel Creek","ShCr5","C","3 m","","Fine Woody Debris",10,""
"610","2024-07-17","Shovel Creek","ShCr5","C","3 m","","Litter - herbaceous",12,""
"611","2024-07-18","Lost Horse","LoHo6","C","6 m","","Vaccinium uliginosum",1,""
"612","2024-07-18","Lost Horse","LoHo6","C","6 m","","Fine Woody Debris",2,""
"613","2024-07-18","Lost Horse","LoHo6","C","6 m","","Vaccinium vitis-idaea",0.1,""
"614","2024-07-18","Lost Horse","LoHo6","C","6 m","","Diphasiastrum spp",0.1,""
"615","2024-08-02","Teklanika ","Tekl5","B","3 m","","Equisetum scirpoides",0.1,""
"616","2024-08-02","Teklanika ","Tekl5","B","3 m","","Rubus chamaemorus",0.1,""
"617","2024-08-02","Teklanika ","Tekl5","B","3 m","","Betula nana",0.1,""
"618","2024-08-02","Teklanika ","Tekl5","B","3 m","","Arctostaphylos rubra [Arctous rubra]",2,""
"619","2024-08-02","Teklanika ","Tekl5","B","3 m","","Eriophorum vaginatum",3,""
"620","2024-08-02","Teklanika ","Tekl5","B","3 m","","Calamagrostis canadensis",1,""
"621","2024-08-02","Teklanika ","Tekl5","B","3 m","","Vaccinium uliginosum",2,""
"622","2024-08-02","Teklanika ","Tekl5","B","3 m","","Potentilla fruticose [Dasiphora fruticosa]",0.1,""
"623","2024-08-02","Teklanika ","Tekl5","B","3 m","","Equisetum palustre",0.1,""
"624","2024-08-02","Teklanika ","Tekl5","B","3 m","","Equisetum spp",2,""
"625","2024-08-02","Teklanika ","Tekl5","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"626","2024-08-02","Teklanika ","Tekl5","B","3 m","","Vaccinium vitis-idaea",0.1,""
"627","2024-08-02","Teklanika ","Tekl5","B","3 m","","Coarse woody debris",0.1,""
"628","2024-07-15","Lost Horse","LoHo1","A","6 m","","Vaccinium vitis-idaea",0.1,""
"629","2024-07-15","Lost Horse","LoHo1","A","6 m","","Fine Woody Debris",1,""
"630","2024-07-15","Lost Horse","LoHo1","A","6 m","","Coarse woody debris",1,""
"631","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Epilobium angustifolium [Chamerion angustifolium]",2,""
"632","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Betula neoalaskana",2,""
"633","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Populus tremuloides",2,""
"634","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Picea mariana",1,""
"635","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Salix spp",15,""
"636","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"637","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Coarse woody debris",27,""
"638","2024-07-30","Nugget Creek","NuCr1","A","6 m","","Fine Woody Debris",17,""
"639","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Salix spp",5,""
"640","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Epilobium angustifolium [Chamerion angustifolium]",6,""
"641","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Polygonum alpinum",7,""
"642","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Populus tremuloides",1,""
"643","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Betula neoalaskana",0.1,""
"644","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Picea mariana",1,""
"645","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Rubus idaeus",0.1,""
"646","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Calamagrostis canadensis",1,""
"647","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Coarse woody debris",30,""
"648","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Fine Woody Debris",3,""
"649","2024-07-16","Shovel Creek","ShCr2","B","3 m","","Litter - herbaceous",1,""
"650","2024-07-25","Haystack","Hays6","C","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"651","2024-07-25","Haystack","Hays6","C","3 m","","Betula nana",15,""
"652","2024-07-25","Haystack","Hays6","C","3 m","","Coarse woody debris",12,""
"653","2024-07-25","Haystack","Hays6","C","3 m","","Fine Woody Debris",5,""
"654","2024-07-25","Haystack","Hays6","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",1,""
"655","2024-07-25","Haystack","Hays6","C","3 m","","Calamagrostis canadensis",50,""
"656","2024-07-25","Haystack","Hays6","C","3 m","","Grass litter",15,""
"657","2024-07-16","Shovel Creek","ShCr3","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",5,""
"658","2024-07-16","Shovel Creek","ShCr3","A","6 m","","Epilobium angustifolium [Chamerion angustifolium]",7,""
"659","2024-07-16","Shovel Creek","ShCr3","A","6 m","","Polygonum alpinum",35,""
"660","2024-07-16","Shovel Creek","ShCr3","A","6 m","","Litter - herbaceous",1,""
"661","2024-07-16","Shovel Creek","ShCr3","A","6 m","","Coarse woody debris",3,""
"662","2024-07-16","Shovel Creek","ShCr3","A","6 m","","Fine Woody Debris",2,""
"663","2024-07-17","Shovel Creek","ShCr5","C","9 m","","Epilobium angustifolium [Chamerion angustifolium]",30,""
"664","2024-07-17","Shovel Creek","ShCr5","C","9 m","","Litter - herbaceous",18,""
"665","2024-07-17","Shovel Creek","ShCr5","C","9 m","","Coarse woody debris",22,""
"666","2024-07-17","Shovel Creek","ShCr5","C","9 m","","Fine Woody Debris",1,""
"667","2024-07-25","Haystack","Hays4","C","9 m","","Carex spp",0.1,""
"668","2024-07-25","Haystack","Hays4","C","9 m","","Vaccinium uliginosum",5,""
"669","2024-07-25","Haystack","Hays4","C","9 m","","Coarse woody debris",6,""
"670","2024-07-25","Haystack","Hays4","C","9 m","","Fine Woody Debris",5,""
"671","2024-07-25","Haystack","Hays4","C","9 m","","Betula nana",60,""
"672","2024-07-25","Haystack","Hays4","C","9 m","","Salix spp",1,"Not rooted in"
"673","2024-07-25","Haystack","Hays4","C","9 m","","Calamagrostis canadensis",2,""
"674","2024-07-25","Haystack","Hays4","C","9 m","","Grass litter",3,""
"675","2024-07-25","Haystack","Hays4","C","9 m","","Vaccinium vitis-idaea",1,""
"676","2024-07-25","Haystack","Hays4","C","9 m","","Lycopodium spp",0.1,""
"677","2024-08-03","Teklanika ","Tekl2","C","6 m","","Epilobium angustifolium [Chamerion angustifolium]",1,""
"678","2024-08-03","Teklanika ","Tekl2","C","6 m","","Saussurea angustifolia",2,""
"679","2024-08-03","Teklanika ","Tekl2","C","6 m","","Calamagrostis canadensis",4,""
"680","2024-08-03","Teklanika ","Tekl2","C","6 m","","Equisetum arvense",4,""
"681","2024-08-03","Teklanika ","Tekl2","C","6 m","","Equisetum palustre",0.1,""
"682","2024-08-03","Teklanika ","Tekl2","C","6 m","","Fine Woody Debris",5,""
"683","2024-08-03","Teklanika ","Tekl2","C","6 m","","Coarse woody debris",14,""
"684","2024-08-03","Teklanika ","Tekl2","C","6 m","","Equisetum scirpoides",0.1,""
"685","2024-07-16","Shovel Creek","ShCr4","A","6 m","","Coarse woody debris",36,""
"686","2024-07-16","Shovel Creek","ShCr4","A","6 m","","Vaccinium uliginosum",12,""
"687","2024-07-16","Shovel Creek","ShCr4","A","6 m","","Fine Woody Debris",5,""
"688","2024-07-16","Shovel Creek","ShCr4","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",55,""
"689","2024-07-16","Shovel Creek","ShCr4","A","6 m","","Vaccinium vitis-idaea",4,""
"690","2024-07-16","Shovel Creek","ShCr4","A","6 m","","Picea mariana",0.1,""
"691","2024-07-28","McCoy Creek","McCr1","B","3 m","","Rubus chamaemorus",5,""
"692","2024-07-28","McCoy Creek","McCr1","B","3 m","","Eriophorum vaginatum",5,""
"693","2024-07-28","McCoy Creek","McCr1","B","3 m","","Betula nana",3,""
"694","2024-07-28","McCoy Creek","McCr1","B","3 m","","Vaccinium uliginosum",2,""
"695","2024-07-28","McCoy Creek","McCr1","B","3 m","","Vaccinium vitis-idaea",1,""
"696","2024-07-28","McCoy Creek","McCr1","B","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",4,""
"697","2024-07-28","McCoy Creek","McCr1","B","3 m","","Coarse woody debris",1,""
"698","2024-07-28","McCoy Creek","McCr1","B","3 m","","Fine Woody Debris",3,""
"699","2024-07-28","McCoy Creek","McCr1","B","3 m","","Picea mariana",0.1,""
"700","2024-07-15","Lost Horse","LoHo3","B","6 m","","Vaccinium uliginosum",1,""
"701","2024-07-15","Lost Horse","LoHo3","B","6 m","","Vaccinium vitis-idaea",0.1,""
"702","2024-07-15","Lost Horse","LoHo3","B","6 m","","Fine Woody Debris",1,""
"703","2024-07-15","Lost Horse","LoHo3","B","6 m","","Coarse woody debris",0.1,""
"704","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Salix spp",7,""
"705","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Epilobium angustifolium [Chamerion angustifolium]",12,""
"706","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Equisetum arvense",12,""
"707","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Carex spp",5,""
"708","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Petasites frigidus",0.1,""
"709","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Equisetum scirpoides",2,""
"710","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Picea mariana",1,""
"711","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Betula neoalaskana",0.1,""
"712","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Coarse woody debris",3,""
"713","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Fine Woody Debris",0.1,""
"714","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Litter - herbaceous",2,""
"715","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Solidago spp",0.1,""
"716","2024-07-22","Shovel Creek","ShCr6","C","6 m","","Pyrola spp",0.1,""
"717","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Betula nana",22,""
"718","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Spiraea beauverdiana (stevenii)",22,""
"719","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Calamagrostis canadensis",12,""
"720","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Cornus canadensis",50,""
"721","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Vaccinium vitis-idaea",5,""
"722","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Vaccinium uliginosum",15,""
"723","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Litter - herbaceous",20,""
"724","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Coarse woody debris",0.1,""
"725","2024-07-17","Shovel Creek","ShCr6","C","9 m","","Fine Woody Debris",1,""
"726","2024-08-02","Teklanika ","Tekl4","A","3 m","","Equisetum scirpoides",0.1,""
"727","2024-08-02","Teklanika ","Tekl4","A","3 m","","Vaccinium vitis-idaea",0.1,""
"728","2024-08-02","Teklanika ","Tekl4","A","3 m","","Vaccinium uliginosum",0.1,""
"729","2024-08-02","Teklanika ","Tekl4","A","3 m","","Salix spp",4,""
"730","2024-08-02","Teklanika ","Tekl4","A","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",4,""
"731","2024-08-02","Teklanika ","Tekl4","A","3 m","","Fine Woody Debris",7,""
"732","2024-08-02","Teklanika ","Tekl4","A","3 m","","Coarse woody debris",2,""
"733","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Salix spp",0.1,""
"734","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Picea mariana",1,""
"735","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Betula neoalaskana",1,""
"736","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Epilobium angustifolium [Chamerion angustifolium]",7,""
"737","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Calamagrostis canadensis",0.1,""
"738","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Equisetum sylvaticum",40,""
"739","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Coarse woody debris",12,""
"740","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Fine Woody Debris",2,""
"741","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Litter - herbaceous",3,""
"742","2024-07-16","Shovel Creek","ShCr2","C","9 m","","Populus tremuloides",0.1,""
"743","2024-08-01","Munson Creek","MuCr3","C","6 m","","Betula nana",15,""
"744","2024-08-01","Munson Creek","MuCr3","C","6 m","","Picea mariana",0.1,""
"745","2024-08-01","Munson Creek","MuCr3","C","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",17,""
"746","2024-08-01","Munson Creek","MuCr3","C","6 m","","Oxycoccus microcarpos [Vaccinium oxycoccos]",1,""
"747","2024-08-01","Munson Creek","MuCr3","C","6 m","","Vaccinium vitis-idaea",3,""
"748","2024-08-01","Munson Creek","MuCr3","C","6 m","","Rubus chamaemorus",0.1,""
"749","2024-08-01","Munson Creek","MuCr3","C","6 m","","Coarse woody debris",1,""
"750","2024-08-01","Munson Creek","MuCr3","C","6 m","","Fine Woody Debris",2,""
"751","2024-08-01","Munson Creek","MuCr3","C","6 m","","Calamagrostis canadensis",10,""
"752","2024-08-01","Munson Creek","MuCr3","C","6 m","","Grass litter",8,""
"753","2024-08-01","Munson Creek","MuCr3","C","6 m","","Equisetum sylvaticum",1,""
"754","2024-08-01","Munson Creek","MuCr3","C","6 m","","Betula neoalaskana",0.1,""
"755","2024-08-02","Teklanika ","Tekl4","C","3 m","","Vaccinium vitis-idaea",1,""
"756","2024-08-02","Teklanika ","Tekl4","C","3 m","","Vaccinium uliginosum",1,""
"757","2024-08-02","Teklanika ","Tekl4","C","3 m","","Coarse woody debris",7,""
"758","2024-08-02","Teklanika ","Tekl4","C","3 m","","Fine Woody Debris",4,""
"759","2024-08-02","Teklanika ","Tekl4","C","3 m","","Salix spp",1,""
"760","2024-08-02","Teklanika ","Tekl4","C","3 m","","Calamagrostis canadensis",0.1,""
"761","2024-08-02","Teklanika ","Tekl4","C","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",10,""
"762","2024-08-02","Teklanika ","Tekl4","C","3 m","","Geocaulon lividum",0.1,""
"763","2024-07-18","Lost Horse","LoHo4 ","C","3 m","","Vaccinium vitis-idaea",0.1,""
"764","2024-07-18","Lost Horse","LoHo4 ","C","3 m","","Fine Woody Debris",3,""
"765","2024-07-18","Lost Horse","LoHo4 ","C","3 m","","Salix spp",22,""
"766","2024-07-18","Lost Horse","LoHo4 ","C","3 m","","Coarse woody debris",4,""
"767","2024-07-18","Lost Horse","LoHo4 ","B","6 m","","Salix spp",25,""
"768","2024-07-18","Lost Horse","LoHo4 ","B","6 m","","Coarse woody debris",4,""
"769","2024-07-18","Lost Horse","LoHo4 ","B","6 m","","Fine Woody Debris",3,""
"770","2024-08-06","Dry Creek","DrCr4","A","6 m","","Vaccinium vitis-idaea",3,""
"771","2024-08-06","Dry Creek","DrCr4","A","6 m","","Picea mariana",0.1,""
"772","2024-08-06","Dry Creek","DrCr4","A","6 m","","Populus tremuloides",1,""
"773","2024-08-06","Dry Creek","DrCr4","A","6 m","","Equisetum scirpoides",2,""
"774","2024-08-06","Dry Creek","DrCr4","A","6 m","","Equisetum arvense",7,""
"775","2024-08-06","Dry Creek","DrCr4","A","6 m","","Epilobium angustifolium [Chamerion angustifolium]",14,""
"776","2024-08-06","Dry Creek","DrCr4","A","6 m","","Coarse woody debris",6,""
"777","2024-07-25","Haystack","Hays4","A","9 m","","Vaccinium uliginosum",6,""
"778","2024-07-25","Haystack","Hays4","A","9 m","","Vaccinium vitis-idaea",2,""
"779","2024-07-25","Haystack","Hays4","A","9 m","","Cornus canadensis",4,""
"780","2024-07-25","Haystack","Hays4","A","9 m","","Ledum palustre subsp. decumbens [Rhododendron tomentosum]",1,""
"781","2024-07-25","Haystack","Hays4","A","9 m","","Betula nana",9,""
"782","2024-07-25","Haystack","Hays4","A","9 m","","Coarse woody debris",0.1,""
"783","2024-07-25","Haystack","Hays4","A","9 m","","Fine Woody Debris",1,""
"784","2024-07-25","Haystack","Hays4","A","9 m","","Calamagrostis canadensis",17,""
"785","2024-07-25","Haystack","Hays4","A","9 m","","Grass litter",20,""
"786","2024-07-22","Hess Creek","HeCr3","A","9 m","","Epilobium angustifolium [Chamerion angustifolium]",6,""
"787","2024-07-22","Hess Creek","HeCr3","A","9 m","","Coarse woody debris",5,""
"788","2024-07-22","Hess Creek","HeCr3","A","9 m","","Fine Woody Debris",3,""
"789","2024-07-22","Hess Creek","HeCr3","A","9 m","","Equisetum arvense",1,""
"790","2024-07-22","Hess Creek","HeCr3","A","9 m","","Arctostaphylos rubra [Arctous rubra]",6,""
"791","2024-07-22","Hess Creek","HeCr3","A","9 m","","Rosa acicularis",0.1,""
"792","2024-07-22","Hess Creek","HeCr3","A","9 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",20,""
"793","2024-07-22","Hess Creek","HeCr3","A","9 m","","Vaccinium vitis-idaea",0.1,""
"794","2024-07-22","Hess Creek","HeCr3","A","9 m","","Calamagrostis canadensis",10,""
"795","2024-07-22","Hess Creek","HeCr3","A","9 m","","Grass litter",7,""
"796","2024-07-22","Hess Creek","HeCr3","A","9 m","","Equisetum scirpoides",0.1,""
"797","2024-07-22","Hess Creek","HeCr3","A","9 m","","Betula neoalaskana",0.1,""
"798","2024-07-22","Hess Creek","HeCr3","A","9 m","","Salix spp",0.1,""
"799","2024-07-22","Hess Creek","HeCr3","A","9 m","","Mertensia paniculata",0.1,""
"800","2024-07-22","Hess Creek","HeCr3","A","9 m","","Picea mariana",0.1,""
"801","2024-07-22","Hess Creek","HeCr3","A","9 m","","Vaccinium uliginosum",0.1,""
"802","2024-08-02","Teklanika ","Tekl6","B","6 m","","Solidago spp",1,""
"803","2024-08-02","Teklanika ","Tekl6","B","6 m","","Calamagrostis canadensis",1,""
"804","2024-08-02","Teklanika ","Tekl6","B","6 m","","Vaccinium uliginosum",1,""
"805","2024-08-02","Teklanika ","Tekl6","B","6 m","","Salix spp",0.1,""
"806","2024-08-02","Teklanika ","Tekl6","B","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",2,""
"807","2024-08-02","Teklanika ","Tekl6","B","6 m","","Equisetum scirpoides",0.1,""
"808","2024-08-02","Teklanika ","Tekl6","B","6 m","","Fine Woody Debris",0.1,""
"809","2024-08-01","Munson Creek","MuCr1","C","6 m","","Rosa acicularis",2,""
"810","2024-08-01","Munson Creek","MuCr1","C","6 m","","Calamagrostis canadensis",1,""
"811","2024-08-01","Munson Creek","MuCr1","C","6 m","","Vaccinium vitis-idaea",1,""
"812","2024-08-01","Munson Creek","MuCr1","C","6 m","","Vaccinium uliginosum",1,""
"813","2024-08-01","Munson Creek","MuCr1","C","6 m","","Betula nana",6,""
"814","2024-08-01","Munson Creek","MuCr1","C","6 m","","Salix spp",0.1,"Not rooted in plot"
"815","2024-08-01","Munson Creek","MuCr1","C","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",10,""
"816","2024-08-01","Munson Creek","MuCr1","C","6 m","","Eriophorum vaginatum",22,""
"817","2024-08-01","Munson Creek","MuCr1","C","6 m","","Fine Woody Debris",0.1,""
"818","2024-08-01","Munson Creek","MuCr1","C","6 m","","Ledum palustre subsp. decumbens [Rhododendron tomentosum]",0.1,""
"819","2024-07-25","Haystack","Hays5","C","6 m","","Salix spp",75,""
"820","2024-07-25","Haystack","Hays5","C","6 m","","Calamagrostis canadensis",0.1,""
"821","2024-07-25","Haystack","Hays5","C","6 m","","Grass litter",0.1,""
"822","2024-07-25","Haystack","Hays5","C","6 m","","Coarse woody debris",3,""
"823","2024-07-25","Haystack","Hays5","C","6 m","","Fine Woody Debris",1,""
"824","2024-07-25","Haystack","Hays5","C","6 m","","Vaccinium uliginosum",0.1,""
"825","2024-08-02","Teklanika ","Tekl5","A","6 m","","Solidago spp",2,""
"826","2024-08-02","Teklanika ","Tekl5","A","6 m","","Equisetum spp",2,"Shrubby"
"827","2024-08-02","Teklanika ","Tekl5","A","6 m","","Eriophorum vaginatum",4,""
"828","2024-08-02","Teklanika ","Tekl5","A","6 m","","Equisetum palustre",1,""
"829","2024-08-02","Teklanika ","Tekl5","A","6 m","","Vaccinium uliginosum",1,""
"830","2024-08-02","Teklanika ","Tekl5","A","6 m","","Coarse woody debris",7,""
"831","2024-08-02","Teklanika ","Tekl5","A","6 m","","Fine Woody Debris",0.1,""
"832","2024-07-22","Hess Creek","HeCr3","B","9 m","","Populus tremuloides",1,""
"833","2024-07-22","Hess Creek","HeCr3","B","9 m","","Vaccinium uliginosum",2,""
"834","2024-07-22","Hess Creek","HeCr3","B","9 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",1,""
"835","2024-07-22","Hess Creek","HeCr3","B","9 m","","Rosa acicularis",1,""
"836","2024-07-22","Hess Creek","HeCr3","B","9 m","","Rubus chamaemorus",0.1,""
"837","2024-07-22","Hess Creek","HeCr3","B","9 m","","Salix spp",4,""
"838","2024-07-22","Hess Creek","HeCr3","B","9 m","","Coarse woody debris",12,""
"839","2024-07-22","Hess Creek","HeCr3","B","9 m","","Fine Woody Debris",6,""
"840","2024-07-22","Hess Creek","HeCr3","B","9 m","","Epilobium angustifolium [Chamerion angustifolium]",8,""
"841","2024-07-22","Hess Creek","HeCr3","B","9 m","","Unknown grass 2",1,""
"842","2024-07-22","Hess Creek","HeCr3","B","9 m","","Picea mariana",0.1,""
"843","2024-07-22","Hess Creek","HeCr3","B","9 m","","Rubus idaeus",0.1,""
"844","2024-07-22","Hess Creek","HeCr3","B","9 m","","Calamagrostis canadensis",10,""
"845","2024-07-22","Hess Creek","HeCr3","B","9 m","","Grass litter",7,""
"846","2024-07-22","Hess Creek","HeCr3","B","9 m","","Equisetum arvense",3,""
"847","2024-07-22","Hess Creek","HeCr3","B","9 m","","Equisetum scirpoides",1,""
"848","2024-07-22","Hess Creek","HeCr3","B","9 m","","Solidago spp",0.1,""
"849","2024-07-22","Hess Creek","HeCr3","B","9 m","","Betula neoalaskana",0.1,""
"850","2024-07-22","Hess Creek","HeCr2","A","6 m","","Populus tremuloides",5,""
"851","2024-07-22","Hess Creek","HeCr2","A","6 m","","Salix spp",10,""
"852","2024-07-22","Hess Creek","HeCr2","A","6 m","","Epilobium angustifolium [Chamerion angustifolium]",11,""
"853","2024-07-22","Hess Creek","HeCr2","A","6 m","","Picea mariana",1,""
"854","2024-07-22","Hess Creek","HeCr2","A","6 m","","Calamagrostis canadensis",6,""
"855","2024-07-22","Hess Creek","HeCr2","A","6 m","","Grass litter",1,""
"856","2024-07-22","Hess Creek","HeCr2","A","6 m","","Coarse woody debris",6,""
"857","2024-07-22","Hess Creek","HeCr2","A","6 m","","Fine Woody Debris",0.1,""
"858","2024-07-22","Hess Creek","HeCr2","A","6 m","","Betula neoalaskana",0.1,""
"859","2024-07-22","Hess Creek","HeCr2","A","6 m","","Shepardia canadensis",0.1,""
"860","2024-07-22","Hess Creek","HeCr2","A","6 m","","Solidago spp",2,""
"861","2024-07-23","Hess Creek","HeCr5","C","3 m","","Calamagrostis canadensis",16,""
"862","2024-07-23","Hess Creek","HeCr5","C","3 m","","Potentilla fruticose [Dasiphora fruticosa]",2,""
"863","2024-07-23","Hess Creek","HeCr5","C","3 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",18,""
"864","2024-07-23","Hess Creek","HeCr5","C","3 m","","Vaccinium uliginosum",10,""
"865","2024-07-23","Hess Creek","HeCr5","C","3 m","","Epilobium angustifolium [Chamerion angustifolium]",1,""
"866","2024-07-23","Hess Creek","HeCr5","C","3 m","","Equisetum arvense",1,""
"867","2024-07-23","Hess Creek","HeCr5","C","3 m","","Petasites frigidus",1,""
"868","2024-07-23","Hess Creek","HeCr5","C","3 m","","Arctostaphylos rubra [Arctous rubra]",1,""
"869","2024-07-23","Hess Creek","HeCr5","C","3 m","","Vaccinium vitis-idaea",2,""
"870","2024-07-23","Hess Creek","HeCr5","C","3 m","","Grass litter",2,""
"871","2024-07-23","Hess Creek","HeCr5","C","3 m","","Coarse woody debris",8,""
"872","2024-07-23","Hess Creek","HeCr5","C","3 m","","Fine Woody Debris",4,""
"873","2024-07-23","Hess Creek","HeCr5","C","3 m","","Picea mariana",0.1,""
"874","2024-07-23","Hess Creek","HeCr5","C","3 m","","Equisetum scirpoides",0.1,""
"875","2024-07-23","Hess Creek","HeCr5","C","3 m","","Salix spp",0.1,""
"876","2024-07-25","Haystack","Hays4","A","6 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",3,""
"877","2024-07-25","Haystack","Hays4","A","6 m","","Epilobium angustifolium [Chamerion angustifolium]",3,""
"878","2024-07-25","Haystack","Hays4","A","6 m","","Coarse woody debris",1,""
"879","2024-07-25","Haystack","Hays4","A","6 m","","Fine Woody Debris",0.1,""
"880","2024-07-25","Haystack","Hays4","A","6 m","","Calamagrostis canadensis",55,""
"881","2024-07-25","Haystack","Hays4","A","6 m","","Grass litter",18,""
"882","2024-07-31","Nugget Creek","NuCr6","B","3 m","","Epilobium angustifolium [Chamerion angustifolium]",6,""
"883","2024-07-31","Nugget Creek","NuCr6","B","3 m","","Picea mariana",7,""
"884","2024-07-31","Nugget Creek","NuCr6","B","3 m","","Salix spp",5,"Most rooted out of plot"
"885","2024-07-31","Nugget Creek","NuCr6","B","3 m","","Coarse woody debris",28,""
"886","2024-07-31","Nugget Creek","NuCr6","B","3 m","","Fine Woody Debris",13,""
"887","2024-07-31","Nugget Creek","NuCr6","B","3 m","","Solidago spp",0.1,""
"888","2024-08-01","Munson Creek","MuCr2","B","9 m","","Vaccinium vitis-idaea",0.1,""
"889","2024-08-01","Munson Creek","MuCr2","B","9 m","","Polygonum alpinum",4,""
"890","2024-08-01","Munson Creek","MuCr2","B","9 m","","Betula neoalaskana",2,""
"891","2024-08-01","Munson Creek","MuCr2","B","9 m","","Fine Woody Debris",0.1,""
"892","2024-08-01","Munson Creek","MuCr2","B","9 m","","Epilobium angustifolium [Chamerion angustifolium]",0.1,""
"893","2024-08-01","Munson Creek","MuCr2","B","9 m","","Picea mariana",0.1,""
"894","2024-08-07","McCoy Creek","McCr3","B","6 m","","Epilobium angustifolium [Chamerion angustifolium]",2,""
"895","2024-08-07","McCoy Creek","McCr3","B","6 m","","Coarse woody debris",2,""
"896","2024-08-07","McCoy Creek","McCr3","B","6 m","","Fine Woody Debris",0.1,""
"897","2024-08-07","McCoy Creek","McCr3","B","6 m","","Picea mariana",0.1,""
"898","2024-08-07","McCoy Creek","McCr3","B","6 m","","Equisetum sylvaticum",38,""
"899","2024-08-07","McCoy Creek","McCr3","B","6 m","","Carex spp",0.1,""
"900","2024-08-07","McCoy Creek","McCr3","B","6 m","","Betula neoalaskana",0.1,""
"901","2024-07-15","Lost Horse","LoHo1","A","9 m","","Coarse woody debris",5,""
"902","2024-07-15","Lost Horse","LoHo1","A","9 m","","Fine Woody Debris",3,""
"903","2024-07-15","Lost Horse","LoHo1","A","9 m","","Vaccinium vitis-idaea",0.1,""
"904","2024-07-16","Shovel Creek","ShCr1","B","9 m","","Ledum palustre subsp. groenlandicum [Rhododendron groenlandicum]",8,""
"905","2024-07-16","Shovel Creek","ShCr1","B","9 m","","Rubus chamaemorus",7,""
"906","2024-07-16","Shovel Creek","ShCr1","B","9 m","","Spiraea beauverdiana (stevenii)",6,""
"907","2024-07-16","Shovel Creek","ShCr1","B","9 m","","Equisetum sylvaticum",11,""
