"","date","project","fire_scar","site","plot","location","site_notes","shrub_regen_present","shrub_regen_species","shrub_regen_count","shrub_notes","s_bd1","s_bd2","s_bd3"
"251","2024-08-06","CCE","Dry Creek","DrCr5","A","3 m","","yes","Salix",1,"",1.03,NA,NA
"252","2024-08-03","CCE","Teklanika ","Tekl1","C","6 m","","yes","Salix",1,"",0.1,NA,NA
"253","2024-07-22","CCE","Hess Creek","HeCr1","B","9 m","","yes","Alder",2,"",0.74,0.63,NA
"254","2024-07-23","CCE","Hess Creek","HeCr4","C","9 m","","no",NA,NA,NA,NA,NA,NA
"255","2024-08-01","CCE","Munson Creek","MuCr2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"256","2024-07-14","CCE","Haystack","Hays2","A","9 m","","no",NA,NA,NA,NA,NA,NA
"257","2024-07-23","CCE","Hess Creek","HeCr5","B","9 m","","no",NA,NA,NA,NA,NA,NA
"258","2024-08-03","CCE","Teklanika ","Tekl1","B","3 m","","yes","Salix",7,"",0.24,0.14,0.18
"259","2024-08-03","CCE","Teklanika ","Tekl1","B","3 m","","yes","Salix",8,"",0.09,0.17,1
"260","2024-07-15","CCE","Lost Horse","LoHo3","B","9 m","","yes","Salix",1,"",0.65,NA,NA
"261","2024-07-16","CCE","Shovel Creek","ShCr1","B","3 m","","no",NA,NA,NA,NA,NA,NA
"262","2024-08-02","CCE","Teklanika ","Tekl4","C","6 m","","yes","Salix",9,"",0.23,0.28,0.16
"263","2024-08-02","CCE","Teklanika ","Tekl4","C","6 m","","yes","Salix",9,"",0.25,0.14,0.12
"264","2024-08-02","CCE","Teklanika ","Tekl4","C","6 m","","yes","Salix",6,"",0.21,0.19,0.24
"265","2024-08-02","CCE","Teklanika ","Tekl4","C","6 m","","yes","Salix",3,"",0.09,0.12,0.1
"266","2024-07-14","CCE","Haystack","Hays3","B","9 m","","no",NA,NA,NA,NA,NA,NA
"267","2024-07-16","CCE","Shovel Creek","ShCr4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"268","2024-07-28","CCE","McCoy Creek","McCr1","A","9 m","Aligned plot with pole rather than meter","no",NA,NA,NA,NA,NA,NA
"269","2024-08-01","CCE","Munson Creek","MuCr1","B","9 m","Quadrat placed at 9m just to capture seedlings. No other data collected at 9m","no",NA,NA,NA,NA,NA,NA
"270","2024-08-07","CCE","McCoy Creek","McCr3","C","3 m","","no",NA,NA,NA,NA,NA,NA
"271","2024-07-18","CCE","Lost Horse","LoHo5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"272","2024-07-16","CCE","Shovel Creek","ShCr4","B","3 m","","yes",NA,NA,NA,NA,NA,NA
"273","2024-08-03","CCE","Teklanika ","Tekl2","A","6 m","","no",NA,NA,NA,NA,NA,NA
"274","2024-07-23","CCE","Hess Creek","HeCr4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"275","2024-07-25","CCE","Haystack","Hays6","B","3 m","","no",NA,NA,NA,NA,NA,NA
"276","2024-07-15","CCE","Lost Horse","LoHo2","A","9 m","","no",NA,NA,NA,NA,NA,NA
"277","2024-08-05","CCE","Dry Creek","DrCr3","A","6 m","","yes","Salix",9,"",0.56,0.5,0.27
"278","2024-08-01","CCE","Munson Creek","MuCr1","C","3 m","","yes","Salix",2,"",0.4,0.28,NA
"279","2024-07-15","CCE","Lost Horse","LoHo3","B","3 m","","yes","Salix",3,"",0.2,0.3,0.2
"280","2024-07-15","CCE","Lost Horse","LoHo3","B","3 m","","yes","Salix",4,"",0.4,0.2,0.3
"281","2024-07-14","CCE","Haystack","Hays3","B","6 m","","no",NA,NA,NA,NA,NA,NA
"282","2024-07-16","CCE","Shovel Creek","ShCr3","B","3 m","","no",NA,NA,NA,NA,NA,NA
"283","2024-08-03","CCE","Teklanika ","Tekl2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"284","2024-08-01","CCE","Munson Creek","MuCr3","C","3 m","","yes","Salix",1,"",0.56,NA,NA
"285","2024-08-01","CCE","Munson Creek","MuCr3","C","3 m","","yes","Salix",3,"",0.33,0.7,0.35
"286","2024-07-16","CCE","Shovel Creek","ShCr3","B","6 m","","no",NA,NA,NA,NA,NA,NA
"287","2024-07-22","CCE","Hess Creek","HeCr1","C","6 m","","no",NA,NA,NA,NA,NA,NA
"288","2024-07-29","CCE","McCoy Creek","McCr2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"289","2024-07-28","CCE","McCoy Creek","McCr1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"290","2024-07-16","CCE","Shovel Creek","ShCr3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"291","2024-07-29","CCE","McCoy Creek","McCr2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"292","2024-07-16","CCE","Shovel Creek","ShCr4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"293","2024-07-23","CCE","Hess Creek","HeCr6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"294","2024-07-29","CCE","McCoy Creek","McCr6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"295","2024-07-15","CCE","Lost Horse","LoHo1","C","9 m","","no",NA,NA,NA,NA,NA,NA
"296","2024-07-29","CCE","McCoy Creek","McCr6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"297","2024-08-01","CCE","Munson Creek","MuCr1","C","9 m","Added extra quadrat to capture seedlings. Did not collect data for anything other than seedlings. ","no",NA,NA,NA,NA,NA,NA
"298","2024-07-25","CCE","Haystack","Hays5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"299","2024-07-28","CCE","McCoy Creek","McCr4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"300","2024-07-18","CCE","Lost Horse","LoHo6","A","6 m","","no",NA,NA,NA,NA,NA,NA
"301","2024-08-04","CCE","Munson Creek","MuCr5","C","6 m","","no",NA,NA,NA,NA,NA,NA
"302","2024-07-16","CCE","Shovel Creek","ShCr2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"303","2024-08-06","CCE","Dry Creek","DrCr6","B","3 m","","no",NA,NA,NA,NA,NA,NA
"304","2024-07-25","CCE","Haystack","Hays4","A","3 m","","no",NA,NA,NA,NA,NA,NA
"305","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","Salix",5,"",0.4,0.33,0.44
"306","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","Salix",1,"",0.22,NA,NA
"307","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","Salix",1,"",0.18,NA,NA
"308","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","Salix",1,"",0.2,NA,NA
"309","2024-07-22","CCE","Hess Creek","HeCr3","A","3 m","","yes","Salix",1,"",0.14,NA,NA
"310","2024-07-14","CCE","Haystack","Hays1","A","6 m","","no",NA,NA,NA,NA,NA,NA
"311","2024-07-22","CCE","Hess Creek","HeCr1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"312","2024-07-16","CCE","Shovel Creek","ShCr3","C","9 m","","no",NA,NA,NA,NA,NA,NA
"313","2024-07-31","CCE","Nugget Creek","NuCr5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"314","2024-07-25","CCE","Haystack","Hays5","C","9 m","","no",NA,NA,NA,NA,NA,NA
"315","2024-08-01","CCE","Munson Creek","MuCr2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"316","2024-07-22","CCE","Hess Creek","HeCr2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"317","2024-07-16","CCE","Shovel Creek","ShCr1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"318","2024-07-17","CCE","Shovel Creek","ShCr6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"319","2024-07-30","CCE","Nugget Creek","NuCr2","A","6 m","","no",NA,NA,NA,NA,NA,NA
"320","2024-07-23","CCE","Hess Creek","HeCr6","A","6 m","","no",NA,NA,NA,NA,NA,NA
"321","2024-07-14","CCE","Haystack","Hays1","B","3 m","","no",NA,NA,NA,NA,NA,NA
"322","2024-07-14","CCE","Haystack","Hays2","B","6 m","","no",NA,NA,NA,NA,NA,NA
"323","2024-07-30","CCE","Nugget Creek","NuCr2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"324","2024-07-30","CCE","Nugget Creek","NuCr1","B","6 m","","yes","Salix",2,"",0.54,0.19,NA
"325","2024-07-29","CCE","McCoy Creek","McCr2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"326","2024-08-04","CCE","Munson Creek","MuCr4","C","3 m","","no",NA,NA,NA,NA,NA,NA
"327","2024-08-03","CCE","Teklanika ","Tekl1","A","6 m","","yes","Salix",4,"",0.2,0.09,0.13
"328","2024-08-03","CCE","Teklanika ","Tekl2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"329","2024-08-05","CCE","Dry Creek","DrCr1","B","3 m","","yes","Salix",6,"",0.75,0.38,0.54
"330","2024-07-16","CCE","Shovel Creek","ShCr2","A","6 m","","yes","Salix",1,"",0.15,NA,NA
"331","2024-07-16","CCE","Shovel Creek","ShCr2","A","9 m","","no",NA,NA,NA,NA,NA,NA
"332","2024-07-16","CCE","Shovel Creek","ShCr4","C","9 m","","no",NA,NA,NA,NA,NA,NA
"333","2024-07-16","CCE","Shovel Creek","ShCr2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"334","2024-07-15","CCE","Lost Horse","LoHo1","C","6 m","","no",NA,NA,NA,NA,NA,NA
"335","2024-08-05","CCE","Dry Creek","DrCr2","C","3 m","","yes","Salix",3,"",0.52,0.43,0.21
"336","2024-08-05","CCE","Dry Creek","DrCr2","C","3 m","","yes","Salix",5,"",0.85,0.62,0.55
"337","2024-08-06","CCE","Dry Creek","DrCr5","C","6 m","","yes","Salix",8,"",0.87,1.08,1.06
"338","2024-08-06","CCE","Dry Creek","DrCr6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"339","2024-07-22","CCE","Hess Creek","HeCr2","C","3 m","","yes","Salix",1,"",0.6,NA,NA
"340","2024-07-22","CCE","Hess Creek","HeCr2","C","3 m","","yes","Salix",1,"",0.34,NA,NA
"341","2024-07-31","CCE","Nugget Creek","NuCr5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"342","2024-07-14","CCE","Haystack","Hays1","B","6 m","","no",NA,NA,NA,NA,NA,NA
"343","2024-07-31","CCE","Nugget Creek","NuCr5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"344","2024-07-15","CCE","Lost Horse","LoHo2","C","6 m","","yes","Salix",4,"",0.5,0.15,0.2
"345","2024-08-05","CCE","Dry Creek","DrCr1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"346","2024-07-17","CCE","Shovel Creek","ShCr5","B","9 m","","no",NA,NA,NA,NA,NA,NA
"347","2024-07-17","CCE","Shovel Creek","ShCr5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"348","2024-07-23","CCE","Hess Creek","HeCr4","A","6 m","","no",NA,NA,NA,NA,NA,NA
"349","2024-08-05","CCE","Dry Creek","DrCr2","C","6 m","","yes","Salix",1,"",0.51,NA,NA
"350","2024-08-05","CCE","Dry Creek","DrCr2","C","6 m","","yes","Salix",5,"",0.29,0.17,0.23
"351","2024-08-05","CCE","Dry Creek","DrCr1","A","6 m","","no",NA,NA,NA,NA,NA,NA
"352","2024-07-30","CCE","Nugget Creek","NuCr3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"353","2024-07-25","CCE","Haystack","Hays4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"354","2024-07-25","CCE","Haystack","Hays6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"355","2024-07-17","CCE","Shovel Creek","ShCr5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"356","2024-08-04","CCE","Munson Creek","MuCr5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"357","2024-07-25","CCE","Haystack","Hays6","A","9 m","","no",NA,NA,NA,NA,NA,NA
"358","2024-08-05","CCE","Dry Creek","DrCr2","B","6 m","","yes","Salix",4,"",0.79,0.68,0.51
"359","2024-08-05","CCE","Dry Creek","DrCr2","B","6 m","","yes","Salix",2,"",0.21,0.19,NA
"360","2024-07-31","CCE","Nugget Creek","NuCr6","A","6 m","","no",NA,NA,NA,NA,NA,NA
"361","2024-07-16","CCE","Shovel Creek","ShCr2","A","9 m","","no",NA,NA,NA,NA,NA,NA
"362","2024-07-15","CCE","Lost Horse","LoHo2","B","6 m","","yes","Salix",3,"",0.2,0.3,0.5
"363","2024-07-30","CCE","Nugget Creek","NuCr3","C","3 m","","no",NA,NA,NA,NA,NA,NA
"364","2024-08-04","CCE","Munson Creek","MuCr5","B","6 m","","no",NA,NA,NA,NA,NA,NA
"365","2024-07-15","CCE","Lost Horse","LoHo3","A","6 m","","no",NA,NA,NA,NA,NA,NA
"366","2024-07-28","CCE","McCoy Creek","McCr4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"367","2024-07-17","CCE","Shovel Creek","ShCr6","C","3 m","","no",NA,NA,NA,NA,NA,NA
"368","2024-07-23","CCE","Hess Creek","HeCr6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"369","2024-08-07","CCE","McCoy Creek","McCr3","B","3 m","","no",NA,NA,NA,NA,NA,NA
"370","2024-07-15","CCE","Lost Horse","LoHo1","C","3 m","","no",NA,NA,NA,NA,NA,NA
"371","2024-08-01","CCE","Munson Creek","MuCr2","B","3 m","2nd pic is Unkn liverwort in ground cover","no",NA,NA,NA,NA,NA,NA
"372","2024-07-29","CCE","McCoy Creek","McCr2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"373","2024-07-25","CCE","Haystack","Hays4","B","9 m","","no",NA,NA,NA,NA,NA,NA
"374","2024-07-16","CCE","Shovel Creek","ShCr1","C","6 m","","no",NA,NA,NA,NA,NA,NA
"375","2024-07-31","CCE","Nugget Creek","NuCr4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"376","2024-07-15","CCE","Lost Horse","LoHo1","B","6 m","","no",NA,NA,NA,NA,NA,NA
"377","2024-08-02","CCE","Teklanika ","Tekl4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"378","2024-07-29","CCE","McCoy Creek","McCr2","A","6 m","","no",NA,NA,NA,NA,NA,NA
"379","2024-08-07","CCE","McCoy Creek","McCr3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"380","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",1,"",NA,NA,NA
"381","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",2,"",0.55,0.6,NA
"382","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",2,"",NA,NA,NA
"383","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",1,"",NA,NA,NA
"384","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",1,"",NA,NA,NA
"385","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",1,"",NA,NA,NA
"386","2024-07-30","CCE","Nugget Creek","NuCr3","A","6 m","","yes","Salix",1,"",0.1,NA,NA
"387","2024-07-14","CCE","Haystack","Hays3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"388","2024-07-31","CCE","Nugget Creek","NuCr4","B","6 m","","no",NA,NA,NA,NA,NA,NA
"389","2024-08-06","CCE","Dry Creek","DrCr4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"390","2024-07-31","CCE","Nugget Creek","NuCr4","C","3 m","","yes","Salix",2,"",0.3,0.09,NA
"391","2024-07-31","CCE","Nugget Creek","NuCr4","C","3 m","","yes","Salix",1,"",0.16,NA,NA
"392","2024-07-23","CCE","Hess Creek","HeCr5","B","6 m","","yes","Salix",2,"",1.07,1.45,NA
"393","2024-07-23","CCE","Hess Creek","HeCr5","B","6 m","","yes","Salix",7,"",NA,NA,1.58
"394","2024-07-28","CCE","McCoy Creek","McCr4","B","3 m","","no",NA,NA,NA,NA,NA,NA
"395","2024-07-29","CCE","McCoy Creek","McCr6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"396","2024-07-23","CCE","Hess Creek","HeCr4","A","9 m","","no",NA,NA,NA,NA,NA,NA
"397","2024-07-14","CCE","Haystack","Hays2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"398","2024-08-01","CCE","Munson Creek","MuCr3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"399","2024-08-01","CCE","Munson Creek","MuCr2","A","6 m","","no",NA,NA,NA,NA,NA,NA
"400","2024-07-15","CCE","Lost Horse","LoHo3","C","9 m","","no",NA,NA,NA,NA,NA,NA
"401","2024-08-01","CCE","Munson Creek","MuCr1","A","0 m","0m, not 9m. Entered as 9 due to fulcrum set up.","no",NA,NA,NA,NA,NA,NA
"402","2024-07-23","CCE","Hess Creek","HeCr6","B","9 m","","no",NA,NA,NA,NA,NA,NA
"403","2024-07-16","CCE","Shovel Creek","ShCr2","A","3 m","","no",NA,NA,NA,NA,NA,NA
"404","2024-07-30","CCE","Nugget Creek","NuCr3","C","6 m","","yes","Salix",1,"",0.94,NA,NA
"405","2024-07-30","CCE","Nugget Creek","NuCr3","C","6 m","","yes","Salix",1,"",0.71,NA,NA
"406","2024-07-28","CCE","McCoy Creek","McCr5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"407","2024-07-16","CCE","Shovel Creek","ShCr2","B","9 m","","no",NA,NA,NA,NA,NA,NA
"408","2024-08-05","CCE","Dry Creek","DrCr1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"409","2024-07-22","CCE","Hess Creek","HeCr2","B","3 m","","no",NA,NA,NA,NA,NA,NA
"410","2024-07-23","CCE","Hess Creek","HeCr4","C","3 m","Old soil sampling hole in plot from LC","no",NA,NA,NA,NA,NA,NA
"411","2024-08-06","CCE","Dry Creek","DrCr4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"412","2024-08-05","CCE","Dry Creek","DrCr3","B","6 m","","yes","Salix",3,"",0.29,0.33,0.31
"413","2024-07-31","CCE","Nugget Creek","NuCr6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"414","2024-08-02","CCE","Teklanika ","Tekl6","C","3 m","","yes","Salix",14,"",0.15,0.21,0.24
"415","2024-08-02","CCE","Teklanika ","Tekl6","C","3 m","","yes","Salix",6,"",0.22,0.12,0.23
"416","2024-08-02","CCE","Teklanika ","Tekl6","C","3 m","","yes","Salix",7,"",0.21,0.17,0.24
"417","2024-07-30","CCE","Nugget Creek","NuCr2","C","6 m","","no",NA,NA,NA,NA,NA,NA
"418","2024-07-25","CCE","Haystack","Hays6","B","9 m","","no",NA,NA,NA,NA,NA,NA
"419","2024-07-18","CCE","Lost Horse","LoHo6","B","6 m","","no",NA,NA,NA,NA,NA,NA
"420","2024-07-17","CCE","Shovel Creek","ShCr5","A","6 m","","no",NA,NA,NA,NA,NA,NA
"421","2024-07-23","CCE","Hess Creek","HeCr6","C","9 m","","no",NA,NA,NA,NA,NA,NA
"422","2024-07-14","CCE","Haystack","Hays3","C","3 m","","yes","Salix",1,"",0.9,NA,NA
"423","2024-07-29","CCE","McCoy Creek","McCr6","C","6 m","","no",NA,NA,NA,NA,NA,NA
"424","2024-07-28","CCE","McCoy Creek","McCr5","C","6 m","","no",NA,NA,NA,NA,NA,NA
"425","2024-08-04","CCE","Munson Creek","MuCr5","C","3 m","","no",NA,NA,NA,NA,NA,NA
"426","2024-07-22","CCE","Hess Creek","HeCr3","C","3 m","","yes","Salix",1,"",0.1,NA,NA
"427","2024-07-22","CCE","Hess Creek","HeCr1","B","6 m","","no",NA,NA,NA,NA,NA,NA
"428","2024-08-03","CCE","Teklanika ","Tekl3","A","3 m","","no",NA,NA,NA,NA,NA,NA
"429","2024-07-31","CCE","Nugget Creek","NuCr5","C","6 m","","no",NA,NA,NA,NA,NA,NA
"430","2024-08-02","CCE","Teklanika ","Tekl6","B","3 m","","yes","Salix",1,"",0.2,NA,NA
"431","2024-07-14","CCE","Haystack","Hays3","A","6 m","","no",NA,NA,NA,NA,NA,NA
"432","2024-08-06","CCE","Dry Creek","DrCr6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"433","2024-07-14","CCE","Haystack","Hays3","B","3 m","","no",NA,NA,NA,NA,NA,NA
"434","2024-08-05","CCE","Dry Creek","DrCr3","C","6 m","","no",NA,NA,NA,NA,NA,NA
"435","2024-07-25","CCE","Haystack","Hays5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"436","2024-07-15","CCE","Lost Horse","LoHo2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"437","2024-08-01","CCE","Munson Creek","MuCr1","A","6 m","","no",NA,NA,NA,NA,NA,NA
"438","2024-07-14","CCE","Haystack","Hays3","A","9 m","","no",NA,NA,NA,NA,NA,NA
"439","2024-08-04","CCE","Munson Creek","MuCr5","B","3 m","","no",NA,NA,NA,NA,NA,NA
"440","2024-07-18","CCE","Lost Horse","LoHo4 ","A","9 m","","no",NA,NA,NA,NA,NA,NA
"441","2024-07-22","CCE","Hess Creek","HeCr3","C","9 m","","no",NA,NA,NA,NA,NA,NA
"442","2024-08-06","CCE","Dry Creek","DrCr6","A","6 m","","yes","Salix",7,"",0.57,0.43,0.53
"443","2024-07-25","CCE","Haystack","Hays6","C","9 m","","no",NA,NA,NA,NA,NA,NA
"444","2024-08-01","CCE","Munson Creek","MuCr3","A","6 m","","no",NA,NA,NA,NA,NA,NA
"445","2024-08-04","CCE","Munson Creek","MuCr4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"446","2024-08-03","CCE","Teklanika ","Tekl3","B","6 m","","no",NA,NA,NA,NA,NA,NA
"447","2024-07-17","CCE","Shovel Creek","ShCr6","A","3 m","","no",NA,NA,NA,NA,NA,NA
"448","2024-07-14","CCE","Haystack","Hays2","B","9 m","","no",NA,NA,NA,NA,NA,NA
"449","2024-07-28","CCE","McCoy Creek","McCr1","A","6 m","","no",NA,NA,NA,NA,NA,NA
"450","2024-07-31","CCE","Nugget Creek","NuCr4","C","6 m","","no",NA,NA,NA,NA,NA,NA
"451","2024-07-17","CCE","Shovel Creek","ShCr6","B","9 m","","no",NA,NA,NA,NA,NA,NA
"452","2024-07-18","CCE","Lost Horse","LoHo5","B","9 m","","yes","Salix",6,"",0.19,0.36,0.28
"453","2024-07-18","CCE","Lost Horse","LoHo5","B","9 m","","yes","Salix",13,"",0.69,0.87,0.42
"454","2024-07-15","CCE","Lost Horse","LoHo3","C","6 m","","no",NA,NA,NA,NA,NA,NA
"455","2024-08-03","CCE","Teklanika ","Tekl3","B","3 m","","no",NA,NA,NA,NA,NA,NA
"456","2024-07-23","CCE","Hess Creek","HeCr5","C","6 m","","yes","Salix",3,".2",0.7,0.8,0.2
"457","2024-07-23","CCE","Hess Creek","HeCr4","B","6 m","LC soil sample hole in plot","no",NA,NA,NA,NA,NA,NA
"458","2024-07-29","CCE","McCoy Creek","McCr6","B","3 m","","no",NA,NA,NA,NA,NA,NA
"459","2024-07-18","CCE","Lost Horse","LoHo5","A","3 m","","no",NA,NA,NA,NA,NA,NA
"460","2024-08-01","CCE","Munson Creek","MuCr2","C","3 m","","no",NA,NA,NA,NA,NA,NA
"461","2024-07-15","CCE","Lost Horse","LoHo1","A","3 m","","no",NA,NA,NA,NA,NA,NA
"462","2024-07-18","CCE","Lost Horse","LoHo5","B","3 m","","no",NA,NA,NA,NA,NA,NA
